,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,Total_Pts
40,662,Callum Wilson,NEW,FOR,9.1,0.0,0.0,0.0,0.0,3.21,0.0,3.21
41,2079,Pau Torres,AVL,DEF,8.1,0.0,0.0,5.45,0.0,0.0,0.0,5.45
42,377,Oleksandr Zinchenko,ARS,DEF,8.8,0.0,6.5,0.0,4.98,0.0,0.0,11.48
43,20,Gabriel Dos Santos,ARS,DEF,9.3,0.0,6.23,0.0,4.6,0.0,0.0,10.83
44,3382,Dominik Szoboszlai,LIV,MID,9.0,0.0,0.0,0.0,0.0,3.14,0.0,3.14
45,3231,Moussa Diaby,AVL,MID,8.1,0.0,0.0,3.14,0.0,0.0,0.0,3.14
46,895,Bryan Mbeumo,BRE,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1439,Manuel Akanji,MCI,DEF,9.2,3.9,0.0,4.28,0.0,0.0,0.0,8.18
48,327,James Maddison,TOT,MID,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,469,Fabian Schär,NEW,DEF,8.7,0.0,0.0,0.0,0.0,2.13,0.0,2.13
50,72,Pascal Groß,BHA,MID,8.2,0.0,4.51,0.0,0.0,0.0,5.36,9.870000000000001
51,397,Cole Palmer,CHE,MID,6.5,3.79,0.0,4.04,0.0,0.0,0.0,7.83
52,1197,Luis Díaz,LIV,MID,9.6,0.0,0.0,0.0,0.0,3.11,0.0,3.11
53,399,Raheem Sterling,CHE,MID,8.7,3.3,0.0,3.45,0.0,0.0,0.0,6.75
54,88,Alexis Mac Allister,LIV,MID,8.9,0.0,0.0,0.0,0.0,2.7,0.0,2.7
55,2038,Nicolas Jackson,CHE,FOR,8.2,4.5,0.0,4.59,0.0,0.0,0.0,9.09
56,376,John Stones,MCI,DEF,9.2,4.68,0.0,5.17,0.0,0.0,0.0,9.85
57,396,Gabriel Jesus,ARS,FOR,10.0,0.0,5.07,0.0,4.04,0.0,0.0,9.11
58,387,Nathan Aké,MCI,DEF,8.9,2.78,0.0,3.28,0.0,0.0,0.0,6.06
59,1900,Cody Gakpo,LIV,FOR,9.6,0.0,0.0,0.0,0.0,1.99,0.0,1.99
60,1359,Levi Colwill,CHE,DEF,7.5,4.6,0.0,4.45,0.0,0.0,0.0,9.05
61,1198,Bruno Guimarães,NEW,MID,8.4,0.0,0.0,0.0,0.0,3.02,0.0,3.02
62,1105,Hwang Hee-chan,WOL,MID,7.3,2.98,0.0,3.58,0.0,0.0,0.0,6.5600000000000005
63,425,Luke Shaw,MUN,DEF,8.8,0.0,0.0,4.09,0.0,0.0,0.0,4.09
64,1364,Lisandro Martínez,MUN,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,394,Kevin De Bruyne,MCI,MID,10.9,0.59,0.0,1.24,0.0,0.0,0.0,1.83
66,464,Miguel Almirón,NEW,MID,8.5,0.0,0.0,0.0,0.0,2.86,0.0,2.86
67,42,Jack Grealish,MCI,MID,9.2,3.46,0.0,3.0,0.0,0.0,0.0,6.46
68,167,Thiago Silva,CHE,DEF,8.5,5.91,0.0,5.81,0.0,0.0,0.0,11.719999999999999
69,262,Aleksandar Mitrović,FUL,FOR,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16,Martinelli,ARS,MID,10.2,0.0,4.63,0.0,3.84,0.0,0.0,8.469999999999999
71,182,Eberechi Eze,CRY,MID,8.2,4.41,0.0,4.28,0.0,0.0,0.0,8.690000000000001
72,48,Ezri Konsa,AVL,DEF,7.9,0.0,0.0,4.95,0.0,0.0,0.0,4.95
73,3,Bernd Leno,FUL,GK,6.8,0.0,0.0,0.0,3.89,0.0,0.0,3.89
74,2405,Axel Disasi,CHE,DEF,8.4,5.12,0.0,4.98,0.0,0.0,0.0,10.100000000000001
75,371,Andrew Robertson,LIV,DEF,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,975,Marc Guéhi,CRY,DEF,8.0,2.28,0.0,3.48,0.0,0.0,0.0,5.76
77,1283,Sven Botman,NEW,DEF,8.6,0.0,0.0,0.0,0.0,2.04,0.0,2.04
78,872,David Raya,ARS,GK,7.3,0.0,5.56,0.0,4.95,0.0,0.0,10.51
79,149,Ben Chilwell,CHE,DEF,8.5,2.05,0.0,3.38,0.0,0.0,0.0,5.43
80,236,Jordan Pickford,EVE,GK,7.0,3.16,0.0,4.38,0.0,0.0,0.0,7.54
81,46,Douglas Luiz,AVL,MID,8.0,0.0,0.0,5.23,0.0,0.0,0.0,5.23
82,959,João Pedro,BHA,FOR,7.7,0.0,2.58,0.0,0.0,0.0,2.28,4.859999999999999
83,1638,Joško Gvardiol,MCI,DEF,9.3,4.18,0.0,4.86,0.0,0.0,0.0,9.04
84,392,Bernardo Silva,MCI,MID,8.3,4.5,0.0,4.26,0.0,0.0,0.0,8.76
85,76,Dan Burn,NEW,DEF,8.5,0.0,0.0,0.0,0.0,2.13,0.0,2.13
86,152,Mason Mount,MUN,MID,8.7,0.0,0.0,1.07,0.0,0.0,0.0,1.07
87,4,Eddie Nketiah,ARS,FOR,7.6,0.0,1.28,0.0,1.26,0.0,0.0,2.54
88,1411,Casemiro,MUN,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,344,Kostas Tsimikas,LIV,DEF,7.2,0.0,0.0,0.0,0.0,2.9,0.0,2.9
90,1202,Dejan Kulusevski,TOT,MID,8.1,0.0,3.25,0.0,4.09,0.0,0.0,7.34
91,171,Reece James,CHE,DEF,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,70,Solly March,BHA,MID,8.1,0.0,0.25,0.0,0.0,0.0,1.03,1.28
93,230,Richarlison,TOT,FOR,8.0,0.0,3.59,0.0,4.99,0.0,0.0,8.58
94,348,Taiwo Awoniyi,FOR,FOR,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1469,Enzo Fernández,CHE,MID,8.4,3.13,0.0,2.83,0.0,0.0,0.0,5.96
96,646,Kai Havertz,ARS,MID,9.2,0.0,3.22,0.0,2.87,0.0,0.0,6.09
97,1076,Yoane Wissa,BRE,MID,7.6,4.86,0.0,3.64,0.0,0.0,0.0,8.5
98,813,Moisés Caicedo,CHE,MID,8.0,3.91,0.0,3.46,0.0,0.0,0.0,7.37
99,307,Harvey Barnes,NEW,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,886,Ethan Pinnock,BRE,DEF,7.9,5.54,0.0,4.6,0.0,0.0,0.0,10.14
101,784,Morgan Gibbs-White,FOR,MID,7.9,0.0,0.0,3.23,0.0,0.0,0.0,3.23
102,104,James Tarkowski,EVE,DEF,7.8,1.25,0.0,3.27,0.0,0.0,0.0,4.52
103,111,Ben Mee,BRE,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,438,Aaron Wan-Bissaka,MUN,DEF,8.0,0.0,0.0,2.53,0.0,0.0,0.0,2.53
105,633,Diogo Jota,LIV,MID,9.1,0.0,0.0,0.0,0.0,1.5,0.0,1.5
106,1112,Odsonne Édouard,CRY,FOR,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1659,Rasmus Højlund,MUN,FOR,9.1,0.0,0.0,3.34,0.0,0.0,0.0,3.34
108,454,Jamaal Lascelles,NEW,DEF,6.6,0.0,0.0,0.0,0.0,0.51,0.0,0.51
109,36,Tyrone Mings,AVL,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1545,Matheus Cunha,WOL,FOR,7.2,3.54,0.0,4.17,0.0,0.0,0.0,7.71
111,3412,Sandro Tonali,NEW,MID,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,261,Tim Ream,FUL,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,408,Diogo Dalot,MUN,DEF,8.2,0.0,0.0,2.7,0.0,0.0,0.0,2.7
114,1085,Raphaël Varane,MUN,DEF,8.3,0.0,0.0,2.75,0.0,0.0,0.0,2.75
115,1405,Iyenoma Udogie,TOT,DEF,7.7,0.0,2.78,0.0,5.11,0.0,0.0,7.890000000000001
116,59,John McGinn,AVL,MID,7.7,0.0,0.0,2.72,0.0,0.0,0.0,2.72
117,95,Robert Sánchez,CHE,GK,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,465,Joelinton,NEW,MID,8.0,0.0,0.0,0.0,0.0,2.61,0.0,2.61
119,85,Leandro Trossard,ARS,MID,8.7,0.0,2.15,0.0,2.01,0.0,0.0,4.16
120,1011,José Sá,WOL,GK,6.9,3.93,0.0,4.61,0.0,0.0,0.0,8.540000000000001
121,620,Max Kilman,WOL,DEF,7.7,2.88,0.0,4.2,0.0,0.0,0.0,7.08
122,2351,Jeremy Doku,MCI,MID,8.5,2.47,0.0,3.67,0.0,0.0,0.0,6.140000000000001
123,340,Joe Gomez,LIV,DEF,8.2,0.0,0.0,0.0,0.0,2.01,0.0,2.01
124,869,Rico Henry,BRE,DEF,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1285,Brennan Johnson,TOT,MID,8.0,0.0,3.37,0.0,4.48,0.0,0.0,7.8500000000000005
126,185,Tyrick Mitchell,CRY,DEF,7.7,2.73,0.0,2.85,0.0,0.0,0.0,5.58
127,1315,Ivan Perišić,TOT,DEF,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,175,Mateo Kovačić,MCI,MID,8.3,2.99,0.0,2.47,0.0,0.0,0.0,5.460000000000001
129,168,Conor Gallagher,CHE,MID,7.8,5.08,0.0,5.0,0.0,0.0,0.0,10.08
130,452,Martin Dúbravka,NEW,GK,6.3,0.0,0.0,0.0,0.0,3.87,0.0,3.87
131,1905,Jurriën Timber,ARS,DEF,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,604,Aaron Cresswell,WHU,DEF,7.7,0.0,0.34,0.0,0.0,0.0,0.5,0.8400000000000001
133,374,João Cancelo,MCI,DEF,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1440,Antony,MUN,MID,8.7,0.0,0.0,2.84,0.0,0.0,0.0,2.84
135,1069,Leon Bailey,AVL,MID,7.8,0.0,0.0,3.21,0.0,0.0,0.0,3.21
136,160,Kurt Zouma,WHU,DEF,7.4,0.0,1.37,0.0,0.0,0.0,2.68,4.050000000000001
137,1215,Alejandro Garnacho,MUN,MID,7.5,0.0,0.0,3.11,0.0,0.0,0.0,3.11
138,649,Abdoulaye Doucouré,EVE,MID,7.3,1.46,0.0,2.35,0.0,0.0,0.0,3.81
139,1269,João Palhinha,FUL,MID,7.9,0.0,0.0,0.0,4.25,0.0,0.0,4.25
140,538,Ben Davies,TOT,DEF,7.8,0.0,2.61,0.0,4.68,0.0,0.0,7.289999999999999
141,588,Michail Antonio,WHU,FOR,7.7,0.0,1.01,0.0,0.0,0.0,1.84,2.85
142,1326,Aaron Hickey,BRE,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,209,Dominic Calvert-Lewin,EVE,FOR,7.9,3.05,0.0,3.93,0.0,0.0,0.0,6.98
144,178,Joel Ward,CRY,DEF,7.5,2.12,0.0,2.4,0.0,0.0,0.0,4.52
145,1437,Lucas Paquetá,WHU,MID,8.0,0.0,2.9,0.0,0.0,0.0,3.4,6.3
146,655,Alphonse Areola,WHU,GK,6.6,0.0,2.11,0.0,0.0,0.0,2.55,4.66
147,890,Mathias Jensen,BRE,MID,7.6,0.44,0.0,0.66,0.0,0.0,0.0,1.1
148,734,Saïd Benrahma,WHU,MID,7.9,0.0,0.82,0.0,0.0,0.0,1.07,1.8900000000000001
149,1689,Christopher Nkunku,CHE,FOR,9.4,4.73,0.0,4.65,0.0,0.0,0.0,9.38
150,570,Sam Johnstone,CRY,GK,6.5,1.73,0.0,2.94,0.0,0.0,0.0,4.67
151,430,Andreas Pereira,FUL,MID,7.9,0.0,0.0,0.0,2.89,0.0,0.0,2.89
152,1168,Vitaliy Mykolenko,EVE,DEF,7.6,1.64,0.0,3.62,0.0,0.0,0.0,5.26
153,1256,Jan Paul van Hecke,BHA,DEF,6.7,0.0,3.2,0.0,0.0,0.0,4.35,7.55
154,531,Pierre Højbjerg,TOT,MID,8.1,0.0,3.4,0.0,4.2,0.0,0.0,7.6
155,715,Vladimír Coufal,WHU,DEF,7.4,0.0,1.49,0.0,0.0,0.0,2.6,4.09
156,237,Lucas Digne,AVL,DEF,7.6,0.0,0.0,3.44,0.0,0.0,0.0,3.44
157,71,Jason Steele,BHA,GK,7.0,0.0,2.68,0.0,0.0,0.0,2.48,5.16
158,1227,Philip Billing,BOU,MID,7.8,0.0,0.0,0.0,2.3,0.0,0.0,2.3
159,222,Alex Iwobi,FUL,MID,7.8,0.0,0.0,0.0,2.91,0.0,0.0,2.91
160,1396,Neto,BOU,GK,6.6,0.0,0.0,0.0,3.67,0.0,0.0,3.67
161,427,Scott McTominay,MUN,MID,6.8,0.0,0.0,3.48,0.0,0.0,0.0,3.48
162,1744,Kudus Mohammed,WHU,MID,8.1,0.0,2.89,0.0,0.0,0.0,3.47,6.36
163,1002,Ibrahima Konaté,LIV,DEF,9.0,0.0,0.0,0.0,0.0,3.9,0.0,3.9
164,1408,Matheus Nunes,MCI,MID,7.6,1.14,0.0,1.25,0.0,0.0,0.0,2.3899999999999997
165,3182,Mykhailo Mudryk,CHE,MID,8.2,1.5,0.0,1.6,0.0,0.0,0.0,3.1
166,335,Youri Tielemans,AVL,MID,8.1,0.0,0.0,3.47,0.0,0.0,0.0,3.47
167,115,Dwight McNeil,EVE,MID,7.9,2.79,0.0,3.48,0.0,0.0,0.0,6.27
168,623,Raúl Jiménez,FUL,FOR,7.4,0.0,0.0,0.0,2.94,0.0,0.0,2.94
169,1897,Mark Flekken,BRE,GK,6.9,5.61,0.0,5.02,0.0,0.0,0.0,10.629999999999999
170,725,Danny Welbeck,BHA,FOR,7.5,0.0,2.92,0.0,0.0,0.0,2.33,5.25
171,154,Emerson Palmieri,WHU,DEF,7.1,0.0,1.7,0.0,0.0,0.0,2.87,4.57
172,653,Kenny Tete,FUL,DEF,7.4,0.0,0.0,0.0,0.91,0.0,0.0,0.91
173,622,Daniel Podence,WOL,MID,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1377,Rico Lewis,MCI,DEF,7.0,0.8,0.0,1.1,0.0,0.0,0.0,1.9000000000000001
175,311,Demarai Gray,EVE,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1910,Micky van de Ven,TOT,DEF,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,3178,Álex Moreno,AVL,DEF,7.9,0.0,0.0,1.81,0.0,0.0,0.0,1.81
178,853,Valentino Livramento,NEW,DEF,8.3,0.0,0.0,0.0,0.0,1.06,0.0,1.06
179,56,Jacob Ramsey,AVL,MID,8.0,0.0,0.0,1.74,0.0,0.0,0.0,1.74
180,1001,Michael Olise,CRY,MID,7.9,3.58,0.0,3.42,0.0,0.0,0.0,7.0
181,1317,Nayef Aguerd,WHU,DEF,7.3,0.0,1.35,0.0,0.0,0.0,2.83,4.18
182,3384,Carlton Morris,LUT,FOR,7.1,0.0,0.0,1.89,0.0,0.0,0.0,1.89
183,1397,Marcos Senesi,BOU,DEF,6.9,0.0,0.0,0.0,1.62,0.0,0.0,1.62
184,866,Emi Buendía,AVL,MID,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,3381,Malo Gusto,CHE,DEF,6.8,1.66,0.0,1.47,0.0,0.0,0.0,3.13
186,144,Billy Gilmour,BHA,MID,6.8,0.0,1.4,0.0,0.0,0.0,1.96,3.36
187,148,Kepa Arrizabalaga,CHE,GK,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,634,Willy Boly,FOR,DEF,6.8,0.0,0.0,1.49,0.0,0.0,0.0,1.49
189,994,Ashley Young,EVE,DEF,7.2,1.18,0.0,2.43,0.0,0.0,0.0,3.6100000000000003
190,91,Joël Veltman,BHA,DEF,7.9,0.0,2.14,0.0,0.0,0.0,2.72,4.86
191,1113,Emerson,TOT,DEF,7.9,0.0,0.66,0.0,1.17,0.0,0.0,1.83
192,386,Aymeric Laporte,MCI,DEF,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,511,Danny Ings,WHU,FOR,8.1,0.0,0.49,0.0,0.0,0.0,0.58,1.0699999999999998
194,266,Bobby Reid,FUL,MID,6.7,0.0,0.0,0.0,0.99,0.0,0.0,0.99
195,542,Serge Aurier,FOR,DEF,7.0,0.0,0.0,0.85,0.0,0.0,0.0,0.85
196,405,Harry Maguire,MUN,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,345,Neco Williams,FOR,DEF,6.8,0.0,0.0,1.17,0.0,0.0,0.0,1.17
198,608,Issa Diop,FUL,DEF,7.3,0.0,0.0,0.0,1.63,0.0,0.0,1.63
199,66,Yves Bissouma,TOT,MID,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,713,Carlos Vinícius,FUL,FOR,6.9,0.0,0.0,0.0,0.84,0.0,0.0,0.84
201,599,Tomáš Souček,WHU,MID,7.7,0.0,2.15,0.0,0.0,0.0,2.53,4.68
202,1230,Jefferson Lerma,CRY,MID,7.0,2.34,0.0,2.39,0.0,0.0,0.0,4.73
203,844,Anthony Elanga,FOR,MID,7.2,0.0,0.0,2.93,0.0,0.0,0.0,2.93
204,19,Kieran Tierney,ARS,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,263,Antonee Robinson,FUL,DEF,7.7,0.0,0.0,0.0,1.96,0.0,0.0,1.96
206,1255,Julio César Enciso,BHA,MID,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,613,Łukasz Fabiański,WHU,GK,6.8,0.0,1.94,0.0,0.0,0.0,2.27,4.21
208,3364,Simon Adingra,BHA,MID,7.0,0.0,3.63,0.0,0.0,0.0,3.11,6.74
209,1117,Mathias Jørgensen,BRE,DEF,6.6,2.13,0.0,1.76,0.0,0.0,0.0,3.8899999999999997
210,346,James Milner,BHA,MID,6.6,0.0,1.25,0.0,0.0,0.0,1.06,2.31
211,192,Jordan Ayew,CRY,FOR,7.6,2.15,0.0,2.09,0.0,0.0,0.0,4.24
212,84,Tariq Lamptey,BHA,DEF,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,898,Nathan Collins,BRE,DEF,7.3,5.08,0.0,4.26,0.0,0.0,0.0,9.34
214,1316,Pape Matar Sarr,TOT,MID,6.5,0.0,2.34,0.0,3.32,0.0,0.0,5.66
215,879,Christian Nørgaard,BRE,MID,6.9,4.35,0.0,4.13,0.0,0.0,0.0,8.48
216,741,James Trafford,BUR,GK,6.6,0.0,0.0,3.23,0.0,0.0,0.0,3.23
217,24,Willian,FUL,MID,7.7,0.0,0.0,0.0,2.57,0.0,0.0,2.57
218,1254,Diego Carlos,AVL,DEF,7.3,0.0,0.0,4.49,0.0,0.0,0.0,4.49
219,706,Nélson Semedo,WOL,DEF,7.5,1.82,0.0,2.94,0.0,0.0,0.0,4.76
220,1252,Matt Turner,FOR,GK,6.1,0.0,0.0,3.53,0.0,0.0,0.0,3.53
221,1080,Romelu Lukaku,CHE,FOR,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,372,Joël Matip,LIV,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,733,Craig Dawson,WOL,DEF,7.3,2.79,0.0,4.39,0.0,0.0,0.0,7.18
224,802,Jean-Philippe Mateta,CRY,FOR,6.7,2.56,0.0,2.69,0.0,0.0,0.0,5.25
225,545,Eric Dier,TOT,DEF,8.0,0.0,1.55,0.0,2.69,0.0,0.0,4.24
226,716,Thomas Partey,ARS,MID,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,1171,Nathan Patterson,EVE,DEF,7.2,0.77,0.0,1.17,0.0,0.0,0.0,1.94
228,410,Anthony Martial,MUN,FOR,7.9,0.0,0.0,1.05,0.0,0.0,0.0,1.05
229,624,Pedro Neto,WOL,MID,7.6,1.8,0.0,2.57,0.0,0.0,0.0,4.37
230,1037,Jadon Sancho,MUN,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,77,Adam Webster,BHA,DEF,8.0,0.0,0.67,0.0,0.0,0.0,1.02,1.69
232,3199,Đorđe Petrović,CHE,GK,6.3,5.02,0.0,4.91,0.0,0.0,0.0,9.93
233,3377,Jordan Beyer,BUR,DEF,6.6,0.0,0.0,1.76,0.0,0.0,0.0,1.76
234,456,Matt Ritchie,NEW,DEF,6.5,0.0,0.0,0.0,0.0,0.39,0.0,0.39
235,101,Neal Maupay,BRE,FOR,7.3,4.65,0.0,3.49,0.0,0.0,0.0,8.14
236,370,Harvey Elliott,LIV,MID,7.5,0.0,0.0,0.0,0.0,0.65,0.0,0.65
237,159,Jorginho,ARS,MID,7.6,0.0,1.29,0.0,1.01,0.0,0.0,2.3
238,429,Victor Lindelöf,MUN,DEF,7.9,0.0,0.0,1.09,0.0,0.0,0.0,1.09
239,458,Sean Longstaff,NEW,MID,7.2,0.0,0.0,0.0,0.0,2.31,0.0,2.31
240,1199,Christian Eriksen,MUN,MID,7.9,0.0,0.0,0.79,0.0,0.0,0.0,0.79
241,1030,Kristoffer Ajer,BRE,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,445,Jacob Murphy,NEW,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,207,Jarrad Branthwaite,EVE,DEF,7.0,1.19,0.0,2.91,0.0,0.0,0.0,4.1
244,127,Jay Rodriguez,BUR,FOR,6.8,0.0,0.0,2.05,0.0,0.0,0.0,2.05
245,1333,Cheick Doucouré,CRY,MID,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,58,Marvelous Nakamba,LUT,MID,6.6,0.0,0.0,3.23,0.0,0.0,0.0,3.23
247,3383,Elijah Adebayo,LUT,FOR,6.9,0.0,0.0,2.5,0.0,0.0,0.0,2.5
248,1110,Marc Cucurella,CHE,DEF,8.3,0.0,0.0,0.24,0.0,0.0,0.0,0.24
249,1400,Amadou Onana,EVE,MID,7.4,2.17,0.0,2.49,0.0,0.0,0.0,4.66
250,367,Harry Wilson,FUL,MID,7.4,0.0,0.0,0.0,1.69,0.0,0.0,1.69
251,1109,Takehiro Tomiyasu,ARS,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,186,Jeffrey Schlupp,CRY,MID,7.2,2.42,0.0,2.15,0.0,0.0,0.0,4.57
253,3208,Illia Zabarnyi,BOU,DEF,6.6,0.0,0.0,0.0,1.34,0.0,0.0,1.34
254,1403,Remo Freuler,FOR,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,343,Curtis Jones,LIV,MID,7.3,0.0,0.0,0.0,0.0,1.06,0.0,1.06
256,711,Elliot Anderson,NEW,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,606,Angelo Ogbonna,WHU,DEF,6.9,0.0,0.16,0.0,0.0,0.0,0.2,0.36
258,1192,Toti Gomes,WOL,DEF,6.9,2.12,0.0,3.54,0.0,0.0,0.0,5.66
259,206,James Tomkins,CRY,DEF,6.5,0.25,0.0,0.32,0.0,0.0,0.0,0.5700000000000001
